"CID","IAUName","Type","z","Color","e_Color","Stretch","e_Stretch","HR","e_HR","DR8-OBJID","BPT","LogMass","e_LogMass","LogMet","e_LogMet","LogSSFR","e_LogSSFR","GFF","Source"
12875,"...","P",0.26,0.02,0.09,-1.04,0.63,0.13,0.23,1237657190903972352,0,10.06,0.15,8.93,0.06,-9.91,0.17,0.49,"BOSS"
12881,"2006gu","S",0.24,0.02,0.03,0.88,0.54,-0.12,0.13,1237657190909673984,1,9.68,0.11,8.92,0.1,-9.36,0.14,0.44,"BOSS"
12898,"2006fw","S",0.08,0.06,0.02,-0.05,0.09,0.01,0.06,1237666407917289472,3,9.95,0.05,-999,-999,-999,-999,0.25,"BOSS"
12930,"2006ex","S",0.15,0.02,0.03,1.89,0.4,0.14,0.1,1237663542600205568,1,10.9,0.06,10.68,-999,-999,-999,0.16,"SDSS"
12971,"2006ff","S",0.24,-0.08,0.03,1.12,0.53,-0.05,0.13,1237663783663436032,3,11.6,0.1,-999,-999,-999,-999,0.29,"SDSS"
12977,"2006gh","S",0.25,-0.04,0.04,0.06,0.51,-0.1,0.13,1237663783666516480,1,9.61,0.1,8.54,0.14,-9.23,0.12,0.29,"BOSS"
13016,"...","P",0.25,-0.1,0.05,-0.05,0.51,0.24,0.15,1237663785282306560,1,9.53,0.23,8.66,1.24,-9.43,0.28,0.33,"BOSS"
13025,"2006fx","S",0.22,0.04,0.03,0.73,0.31,0.08,0.09,1237663543687905792,1,10.84,0.05,9.03,0.03,-9.61,0.06,0.16,"BOSS"
13044,"2006fm","S",0.13,-0.07,0.02,-0.02,0.13,0.04,0.06,1237663479795287040,1,9.91,0.07,8.9,0.04,-9.81,0.08,0.09,"BOSS"
13070,"2006fu","S",0.2,-0.15,0.03,0.96,0.28,0.09,0.08,1237663783122698496,1,10.27,0.06,8.86,0.06,-9.37,0.08,0.37,"SDSS"
13099,"2006gb","S",0.27,-0.01,0.04,0.31,0.58,0.06,0.15,1237663275780210944,1,10.86,0.08,9.05,0.04,-9.5,0.09,0.34,"SDSS"
13135,"2006fz","S",0.1,-0.06,0.02,-1.4,0.07,0.01,0.05,1237657190370181376,3,11.13,0.08,-999,-999,-999,-999,0.3,"SDSS"
13152,"2006gg","S",0.2,-0.01,0.02,0.3,0.25,-0.18,0.07,1237663784200503808,1,9.39,0.1,8.54,0.09,-9.1,0.1,0.41,"BOSS"
13305,"2006he","S",0.21,-0.02,0.03,1.01,0.3,0,0.09,1237663544220189184,1,10.05,0.08,8.6,0.07,-8.66,0.09,0.24,"BOSS"
13323,"...","P",0.23,0.02,0.04,0.36,0.47,0.16,0.12,1237663543142974208,1,10.08,0.08,8.77,0.05,-9.02,0.08,0.25,"BOSS"
13334,"...","P",0.25,0.21,0.08,-0.75,0.74,0.06,0.21,1237663543679190272,1,10.02,0.17,9.05,0.08,-10.14,0.18,0.56,"BOSS"
13354,"2006hr","S",0.16,0.09,0.03,1.05,0.17,-0.11,0.07,1237657069548601344,1,10.47,0.08,8.98,0.03,-9.28,0.08,0.36,"SDSS"
13432,"...","P",0.23,0.07,0.09,-1.36,1,-0.03,0.26,1237656567040902400,3,10.38,0.07,-999,-999,-999,-999,0.35,"BOSS"
13441,"...","P",0.29,0.03,0.05,0.43,0.88,-0.05,0.19,1237663783654785280,3,11.13,0.11,8.69,0.12,-10.19,0.21,0.11,"BOSS"
13465,"...","P",0.29,0.07,0.09,-0.96,0.92,0.12,0.26,1237663784192508672,1,9.65,0.11,8.69,0.1,-9.08,0.13,0.42,"BOSS"
13476,"...","P",0.28,0.12,0.05,0.81,0.79,0.15,0.17,1237663783121912320,1,9.96,0.14,8.82,0.14,-9.95,0.16,0.34,"BOSS"
13487,"...","P",0.29,0.03,0.06,-1.25,0.48,-0.04,0.17,1237663784212759296,3,11.1,0.17,-999,-999,-999,-999,0.2,"BOSS"
13506,"2006hg","S",0.24,0.12,0.05,-0.1,0.65,0.04,0.15,1237663783134691584,3,10.19,0.08,-999,-999,-999,-999,0.38,"BOSS"
13511,"2006hh","S",0.24,-0.1,0.04,-1.42,0.46,0.27,0.12,1237663783141441792,2,11.41,0.13,8.93,0.12,-10.38,0.15,0.32,"SDSS"
13520,"...","P",0.27,0.07,0.05,0.03,0.63,-0.3,0.16,1237666339189227776,0,10.49,0.09,8.89,0.08,-10.58,0.12,0.45,"BOSS"
13610,"2006hd","S",0.3,-0.1,0.04,0.16,0.54,-0.15,0.15,1237678617402933760,1,10.47,0.1,8.88,0.03,-8.86,0.11,0.59,"SDSS"
13647,"...","P",0.25,-0.02,0.06,-1.09,0.7,-0.1,0.18,1237657189831606528,0,11.21,0.11,8.98,0.12,-11.65,0.41,0.21,"BOSS"
13689,"...","S",0.25,-0.12,0.01,1.18,0.39,0.11,0.08,1237657191980728576,1,10.45,0.07,8.98,0.02,-8.96,0.08,0.22,"BOSS"
13703,"...","P",0.24,-0.02,0.03,-0.15,0.27,-0.07,0.09,1237678617971785728,2,11.3,0.12,8.9,0.03,-9.65,0.12,0.24,"BOSS"
13727,"2006hj","S",0.23,-0.03,0.03,1.32,0.35,0,0.1,1237678617936135680,1,9.95,0.09,8.72,0.08,-9.36,0.1,0.18,"BOSS"
13736,"2006hv","S",0.15,-0.03,0.02,1.12,0.17,0.04,0.06,1237678617407717888,1,9.68,0.08,8.81,0.06,-9.97,0.09,0.22,"BOSS"
13796,"2006hl","S",0.15,-0.02,0.02,0.8,0.12,-0.13,0.06,1237663277923696896,3,10.33,0.06,-999,-999,-999,-999,0.15,"BOSS"
13835,"2006hp","S",0.25,-0.05,0.03,0.61,0.26,-0.06,0.09,1237663783663173888,1,10.51,0.06,8.96,0.02,-9.43,0.07,0.27,"BOSS"
13896,"...","P",0.16,0.07,0.04,-0.57,0.39,0.64,0.1,1237657190906397184,2,8.95,0.13,8.8,0.08,-9.79,0.15,0.43,"BOSS"
13897,"...","P",0.23,0.08,0.04,0.54,0.53,0.08,0.14,1237657190907904000,1,10.54,0.06,8.93,0.02,-9.39,0.06,0.38,"BOSS"
13907,"...","P",0.2,0.13,0.04,-0.21,0.3,-0.15,0.1,1237666339724787968,2,11.16,0.15,9.07,0.07,-10.82,0.17,0.23,"BOSS"
13909,"...","P",0.29,-0.11,0.04,0.88,0.39,0.23,0.13,1237666339725771264,3,9.76,0.15,-999,-999,-999,-999,0.18,"BOSS"
13971,"...","P",0.26,0,0.06,-0.34,0.68,0.21,0.19,1237678617428165376,1,10.22,0.13,8.42,0.16,-8.95,0.17,0.24,"BOSS"
14024,"2006ht","S",0.15,0.04,0.04,-1.92,0.2,-0.05,0.12,1237678617936396544,3,8.93,0.21,-999,-999,-999,-999,1.13,"BOSS"
14074,"...","P",0.26,0.12,0.06,0.72,0.65,0.1,0.17,1237660025032802816,1,9.82,0.1,8.5,0.12,-9.12,0.13,0.25,"BOSS"
14113,"...","P",0.24,0.17,0.04,-0.64,0.63,-0.56,0.14,1237663783136067840,1,10.27,0.08,9.13,0.07,-9.61,0.09,0.36,"BOSS"
14212,"2006iy","S",0.2,-0.04,0.03,-0.31,0.18,0.06,0.08,1237678595930063616,1,10.5,0.11,8.93,0.12,-10.72,0.12,0.31,"BOSS"
14261,"2006jk","S",0.29,-0.04,0.05,0.68,0.49,-0.19,0.13,1237663543682073600,2,9.13,0.09,9.03,0.07,-9.43,0.11,0.58,"BOSS"
14284,"2006ib","S",0.18,-0.07,0.02,-0.29,0.17,-0.23,0.06,1237666300018163968,-999,10.57,0.12,-999,-999,-999,-999,-999,"SDSS"
14331,"2006kl","S",0.22,0.01,0.04,0.17,0.3,0.14,0.11,1237657190908690944,1,9.7,0.1,8.42,0.47,-8.9,0.13,0.24,"BOSS"
14333,"...","P",0.27,-0.12,0.04,-0.47,0.4,0.14,0.13,1237666339188834560,3,11,0.1,-999,-999,-999,-999,0.38,"BOSS"
14340,"...","P",0.28,0.02,0.05,-0.77,0.57,-0.2,0.17,1237656906348888064,3,11.53,0.11,-999,-999,-999,-999,0.41,"SDSS"
14403,"...","P",0.29,-0.13,0.05,-0.77,0.47,0.26,0.16,1237663204921508608,10,10.17,0.13,8.81,0.11,-9.51,0.15,0.4,"BOSS"
14421,"2006ia","S",0.17,-0.09,0.03,-0.68,0.19,0.1,0.08,1237680099167109120,2,11.56,0.08,8.97,0.07,-11.13,0.15,0.16,"SDSS"
14437,"2006hy","S",0.15,-0.1,0.03,0.62,0.12,-0.05,0.06,1237656567046865152,2,10.19,0.13,8.83,0.09,-10.12,0.14,0.44,"BOSS"
14438,"...","P",0.3,-0.09,0.04,1.56,0.62,0.09,0.15,1237660024495014144,3,9.68,0.08,-999,-999,-999,-999,0.44,"BOSS"
14444,"...","P",0.25,-0.16,0.04,-1.08,0.35,0.32,0.12,1237656567585768192,3,10.95,0.1,-999,-999,-999,-999,0.24,"BOSS"
14445,"...","P",0.24,0.01,0.06,-2.37,0.45,0.1,0.17,1237660025032278272,10,11.4,0.11,-999,-999,-10.46,0.24,0.28,"BOSS"
14470,"...","P",0.2,-0.01,0.02,-0.31,0.22,-0.15,0.07,1237663783679885824,3,10.15,0.16,-999,-999,-999,-999,0.33,"BOSS"
14481,"2006lj","S",0.24,-0.13,0.05,-1.06,0.4,0.28,0.14,1237663784198537472,0,11.21,0.12,8.93,0.03,-10.18,0.12,0.23,"BOSS"
14524,"...","P",0.27,0.07,0.05,-0.22,0.5,0.04,0.15,1237663783141835776,10,10.78,0.06,9,0.03,-9.05,0.07,0.33,"BOSS"
14784,"...","P",0.19,0.11,0.04,0.66,0.38,0.16,0.11,1237663457242514176,2,10.72,0.1,8.89,0.04,-9.73,0.1,0.28,"BOSS"
14846,"2006jn","S",0.22,-0.05,0.03,0.65,0.29,0.04,0.1,1237663784200765440,1,11.08,0.07,9.04,0.03,-9.58,0.07,0.21,"BOSS"
14965,"...","P",0.28,0.01,0.05,0.03,0.52,-0.27,0.14,1237663785279422976,1,10.01,0.11,8.5,0.17,-9.17,0.12,0.24,"BOSS"
15033,"...","P",0.22,0.07,0.06,-1.67,0.49,0.04,0.18,1237666339188637696,0,11.37,0.08,9.68,0.08,-999,-999,0.22,"BOSS"
15057,"2006md","P",0.25,-0.03,0.06,-2.38,0.58,0.25,0.18,1237666339726426624,1,9.59,0.11,8.36,0.26,-9.1,0.12,0.4,"BOSS"
15129,"2006kq","S",0.2,-0.07,0.03,-0.69,0.23,-0.03,0.09,1237663457240351232,1,10.97,0.08,8.98,0.04,-9.82,0.08,0.29,"SDSS"
15137,"...","P",0.28,-0.08,0.05,-0.69,0.47,0.08,0.14,1237663783121912576,2,10.42,0.13,8.72,0.07,-9.53,0.14,0.4,"BOSS"
15160,"...","P",0.25,0.13,0.05,-0.76,0.43,-0.19,0.14,1237657190367625984,1,10.24,0.09,9,0.04,-9.33,0.1,0.25,"BOSS"
15161,"2006jw","S",0.25,-0.08,0.04,-0.26,0.25,0,0.1,1237657587095765760,1,11.06,0.08,9.02,0.12,-9.91,0.1,0.14,"SDSS"
15198,"...","P",0.29,-0.07,0.03,0.28,0.35,0,0.11,1237663783675691776,1,9.57,0.14,8.77,0.2,-9.68,0.21,0.29,"BOSS"
15201,"2006ks","S",0.21,0.12,0.04,-1.25,0.48,0.3,0.12,1237663479260643584,0,11.31,0.1,8.86,0.31,-11.53,0.53,0.16,"BOSS"
15203,"2006jy","S",0.2,-0.01,0.03,1.16,0.28,0.01,0.08,1237663784204304896,3,10.22,0.08,-999,-999,-999,-999,0.45,"BOSS"
15219,"2006ka","S",0.25,-0.14,0.03,-0.15,0.39,0.08,0.1,1237666408457568512,2,11.08,0.09,8.85,0.04,-9.63,0.09,0.3,"BOSS"
15222,"2006jz","S",0.2,0.01,0.03,-1.33,0.29,-0.14,0.1,1237657191980204288,3,11.57,0.12,-999,-999,-999,-999,0.21,"SDSS"
15226,"...","P",0.29,0.09,0.07,-1.16,0.53,-0.27,0.18,1237657071698707200,3,10.68,0.12,-999,-999,-999,-999,0.45,"BOSS"
15234,"2006kd","S",0.14,0.13,0.03,0.9,0.21,0.25,0.07,1237663204921573632,1,10.52,0.07,9.08,0.05,-10,0.08,0.29,"SDSS"
15260,"...","P",0.25,0.15,0.04,1.33,0.45,-0.22,0.13,1237663478724494080,1,10.44,0.13,9,0.04,-9.65,0.13,0.32,"BOSS"
15268,"...","P",0.3,-0.11,0.04,0.51,0.67,0.09,0.16,1237663479261037312,1,9.51,0.07,8.53,0.12,-8.72,0.1,0.38,"BOSS"
15272,"...","P",0.28,0,0.05,-1.1,0.6,-0.29,0.15,1237663784193360128,0,11.66,0.09,8.97,0.03,-9.9,0.1,0.17,"BOSS"
15287,"2006kt","S",0.24,-0.03,0.03,1.09,0.31,0.11,0.09,1237656567043326976,3,10.62,0.17,-999,-999,-999,-999,0.35,"BOSS"
15301,"2006lo","P",0.18,-0.02,0.03,-0.33,0.23,0.05,0.08,1237663458316125440,1,10.12,0.09,9,0.05,-10.24,0.1,0.33,"BOSS"
15325,"...","P",0.21,0.04,0.04,-0.36,0.35,-0.04,0.1,1237663783137771776,0,10.95,0.1,9.8,0.08,-15.29,4059.13,0.33,"BOSS"
15347,"...","P",0.27,0,0.05,-0.85,0.44,-0.3,0.15,1237678617939543296,0,10.74,0.15,9.04,0.05,-10.51,0.16,0.38,"BOSS"
15356,"2006lm","S",0.27,-0.04,0.04,-0.64,0.5,-0.18,0.14,1237663543685088000,0,10.74,0.19,8.95,0.18,-11.34,0.6,0.38,"BOSS"
15365,"2006ku","S",0.19,-0.06,0.03,0.79,0.23,0.08,0.08,1237678617415450880,2,11.18,0.09,9,0.03,-9.7,0.09,0.19,"BOSS"
15419,"...","P",0.28,-0.07,0.04,-0.37,0.48,-0.03,0.13,1237663785279816192,3,9.74,0.18,-999,-999,-999,-999,0.52,"BOSS"
15421,"2006kw","S",0.19,-0.04,0.03,0.2,0.26,0.13,0.07,1237663784749039872,1,10.17,0.07,8.85,0.05,-9.66,0.08,0.35,"SDSS"
15425,"2006kx","S",0.16,0,0.03,0.98,0.17,-0.26,0.06,1237663239278231808,0,10.53,0.07,9,0.05,-11.14,0.19,0.6,"SDSS"
15433,"2006mt","S",0.22,-0.06,0.03,-0.06,0.27,0.01,0.09,1237663783667040512,2,10.81,0.09,8.82,0.07,-9.71,0.1,0.3,"BOSS"
15440,"2006lr","S",0.26,0.06,0.04,-0.56,0.53,-0.21,0.13,1237663784214790656,2,10.85,0.14,8.88,0.07,-10.18,0.16,0.3,"BOSS"
15443,"2006lb","S",0.18,-0.04,0.02,1.57,0.18,-0.09,0.06,1237660240313581824,1,10.34,0.06,8.92,0.04,-9.69,0.08,0.41,"SDSS"
15459,"2006la","S",0.13,0.11,0.03,0.38,0.22,0.47,0.07,1237656906346660096,1,9.08,0.07,8.55,0.07,-9.44,0.07,0.36,"BOSS"
15461,"2006kz","S",0.19,-0.11,0.03,-0.18,0.21,-0.01,0.07,1237663542607741952,1,10.52,0.08,9.05,0.06,-10.08,0.09,0.15,"BOSS"
15466,"2006mz","S",0.25,0.01,0.05,-1.05,0.4,-0.25,0.13,1237663543140550144,3,10.62,0.07,-999,-999,-999,-999,0.29,"BOSS"
15467,"...","S",0.21,-0.09,0.03,0.81,0.26,-0.02,0.08,1237663543141597952,1,10.43,0.05,9,0.03,-9.48,0.06,0.39,"SDSS"
15496,"...","P",0.23,-0.05,0.03,1.01,0.28,0.05,0.09,1237657191445627392,0,8.86,0.17,9.55,0.08,-13.5,1.31,0.3,"BOSS"
15508,"2006ls","S",0.13,-0.06,0.02,0.88,0.11,0,0.06,1237666407380549888,3,9.96,0.07,-999,-999,-999,-999,0.1,"BOSS"
15535,"...","P",0.2,0.04,0.04,-1.82,0.58,0.12,0.13,1237663783661339136,3,10.49,0.15,-999,-999,-999,-999,0.35,"BOSS"
15584,"2006nt","S",0.28,-0.05,0.04,0.39,0.42,-0.08,0.13,1237678437018042880,2,10.9,0.13,9.01,0.08,-9.05,0.15,0.19,"BOSS"
15587,"...","P",0.22,-0.01,0.04,-0.01,0.27,-0.04,0.09,1237660241926226176,2,10.7,0.07,8.97,0.03,-9.74,0.07,0.35,"SDSS"
15603,"...","P",0.26,0.12,0.06,-0.99,0.68,-0.2,0.18,1237663275778507264,2,10.49,0.15,8.79,0.1,-9.53,0.17,0.33,"BOSS"
15648,"2006ni","S",0.17,0.11,0.05,-1.38,0.35,-0.06,0.11,1237663543138845696,2,11.34,0.09,9.15,0.07,-12.74,0.26,0.37,"SDSS"
15663,"...","P",0.29,-0.04,0.05,-0.75,0.61,-0.22,0.17,1237678595932684544,1,10.55,0.14,9.05,0.06,-10.3,0.14,0.34,"BOSS"
15675,"...","P",0.23,-0.05,0.05,-0.65,0.44,0.09,0.13,1237663444905558528,0,10.94,0.12,8.7,0.27,-10.86,0.18,0.27,"BOSS"
15719,"...","P",0.27,-0.06,0.04,-0.65,0.44,-0.05,0.13,1237678437015486976,1,10.33,0.15,8.93,0.09,-9.6,0.16,0.37,"BOSS"
15755,"...","P",0.28,-0.02,0.04,-0.82,0.44,-0.17,0.14,1237666408441708800,2,10.34,0.1,8.93,0.02,-8.51,0.1,0.35,"BOSS"
15779,"...","P",0.26,-0.04,0.06,-0.08,0.73,0.5,0.2,1237666407362396672,1,10.51,0.09,9.02,0.06,-9.52,0.1,0.32,"BOSS"
15784,"...","P",0.28,0.02,0.05,0,0.48,-0.2,0.14,1237657190366904576,1,10.56,0.07,8.86,0.02,-9.83,0.08,0.24,"BOSS"
15806,"...","P",0.25,0.02,0.05,-1.95,0.56,-0.12,0.16,1237663783134167808,2,11.1,0.15,-999,-999,-9.25,0.16,0.27,"BOSS"
15829,"...","P",0.25,0.09,0.06,1.07,0.83,0.42,0.2,1237663456705316096,1,9.17,0.13,8.5,0.62,-8.59,0.16,0.47,"BOSS"
15850,"...","P",0.25,-0.07,0.05,-1.19,0.35,0,0.13,1237663275780538624,0,11.18,0.1,8.68,0.12,-10.55,0.2,0.27,"BOSS"
15866,"...","P",0.19,0,0.04,-0.93,0.31,-0.03,0.11,1237663480334909440,0,11.24,0.08,8.83,0.09,-10.78,0.13,0.19,"BOSS"
15868,"2006pa","S",0.25,-0.23,0.03,0.31,0.24,0.29,0.09,1237663783140328192,1,10.39,0.1,8.89,0.07,-9.17,0.12,0.14,"BOSS"
15872,"2006nb","S",0.21,-0.07,0.04,0.75,0.31,-0.06,0.09,1237663783676609024,1,9.66,0.09,8.92,0.04,-10.17,0.1,0.42,"BOSS"
15892,"...","P",0.18,0.18,0.06,-1.7,0.42,-0.15,0.13,1237678617401688832,1,10.83,0.06,8.96,0.03,-9.26,0.06,0.17,"BOSS"
15897,"2006pb","S",0.17,0.01,0.04,-2.41,0.26,-0.03,0.1,1237657189836587264,3,10.82,0.1,-999,-999,-999,-999,0.33,"BOSS"
15901,"2006od","S",0.2,-0.05,0.03,0.01,0.26,0.01,0.08,1237666407382647296,0,9.97,0.09,8.14,108.08,-4.62,0.56,0.2,"BOSS"
15909,"...","P",0.22,0.05,0.04,-1.09,0.33,-0.17,0.12,1237663204919148800,3,11.21,0.09,-999,-999,-999,-999,0.29,"BOSS"
15950,"...","P",0.22,0.05,0.05,-1.27,0.47,-0.23,0.14,1237663278467318016,2,11.34,0.05,9,0.03,-9.81,0.06,0.23,"SDSS"
