D,RA,DEC,M_V,V_I,logP,type
OGLE-LMC-ECL-00654,04:45:24.73,-67:47:33.8,-0.521,-0.137,-0.171301,near-contact 
OGLE-LMC-ECL-01278,04:49:53.60,-68:58:50.3,-1.661,-0.129,0.017263,near-contact 
OGLE-LMC-ECL-01572,04:51:06.09,-69:35:40.8,-1.871,-0.205,-0.152281,near-contact 
OGLE-LMC-ECL-01725,04:51:39.44,-70:42:22.5,-1.584,-0.175,0.022083,near-contact 
OGLE-LMC-ECL-01792,04:51:55.98,-69:29:04.8,-1.582,-0.186,-0.157848,genuinely-contact 
OGLE-LMC-ECL-02444,04:54:01.87,-67:01:36.1,-0.468,-0.079,-0.189630,near-contact 
OGLE-LMC-ECL-02776,04:54:52.22,-67:08:03.4,-0.728,-0.087,-0.279861,genuinely-contact 
OGLE-LMC-ECL-03026,04:55:32.53,-69:28:27.1,-3.083,-0.300,0.058536,near-contact 
OGLE-LMC-ECL-03742,04:57:16.75,-70:12:51.2,-2.300,-0.216,0.030166,near-contact 
OGLE-LMC-ECL-03778,04:57:20.43,-67:02:24.3,-2.950,-0.220,-0.178228,genuinely-contact 
OGLE-LMC-ECL-03780,04:57:20.58,-68:52:37.8,-3.284,-0.199,0.056293,near-contact 
OGLE-LMC-ECL-03838,04:57:30.57,-68:49:50.4,-3.394,-0.249,-0.103829,genuinely-contact 
OGLE-LMC-ECL-04189,04:58:21.49,-67:16:38.2,-2.290,-0.268,-0.073589,genuinely-contact 
OGLE-LMC-ECL-04341,04:58:48.47,-66:57:53.8,-1.322,-0.200,-0.246135,genuinely-contact 
OGLE-LMC-ECL-05322,05:01:36.42,-67:37:18.8,-1.470,-0.177,-0.081093,genuinely-contact 
OGLE-LMC-ECL-05389,05:01:47.05,-70:54:08.7,-2.586,-0.242,-0.036790,genuinely-contact 
OGLE-LMC-ECL-05906,05:03:00.41,-70:20:38.8,-2.927,-0.265,-0.026323,near-contact 
OGLE-LMC-ECL-05977,05:03:10.27,-67:52:00.5,-0.151,0.018,0.062884,near-contact 
OGLE-LMC-ECL-06062,05:03:20.89,-68:58:26.4,-0.008,0.005,-0.041275,near-contact 
OGLE-LMC-ECL-06121,05:03:30.51,-69:54:54.7,-0.752,-0.152,-0.282502,genuinely-contact 
OGLE-LMC-ECL-06667,05:04:43.35,-70:19:48.3,-1.349,-0.183,-0.294782,near-contact 
OGLE-LMC-ECL-06731,05:04:50.84,-70:08:58.9,-3.361,-0.289,0.067021,genuinely-contact 
OGLE-LMC-ECL-06745,05:04:52.91,-70:33:01.8,-0.948,-0.186,-0.207001,genuinely-contact 
OGLE-LMC-ECL-07009,05:05:29.38,-70:31:53.4,-2.718,-0.263,-0.046756,near-contact 
OGLE-LMC-ECL-07050,05:05:35.36,-67:03:11.6,0.260,0.043,-0.142969,genuinely-contact 
OGLE-LMC-ECL-07378,05:06:14.93,-69:09:02.9,-0.507,-0.062,-0.049429,genuinely-contact 
OGLE-LMC-ECL-08338,05:08:32.69,-71:13:38.5,-3.577,-0.186,0.106351,genuinely-contact 
OGLE-LMC-ECL-08909,05:09:51.75,-69:02:03.9,-2.171,-0.164,0.138865,near-contact 
OGLE-LMC-ECL-09001,05:10:04.09,-69:37:02.2,-0.238,-0.044,-0.105518,near-contact 
OGLE-LMC-ECL-09055,05:10:11.76,-69:06:25.6,-1.208,-0.098,-0.279223,genuinely-contact 
OGLE-LMC-ECL-09283,05:10:46.07,-67:36:11.5,-2.864,-0.277,-0.026775,near-contact 
OGLE-LMC-ECL-09482,05:11:14.51,-69:16:18.1,-1.980,-0.135,0.002582,genuinely-contact 
OGLE-LMC-ECL-09689,05:11:52.92,-69:11:25.6,-1.884,-0.219,-0.123840,genuinely-contact 
OGLE-LMC-ECL-09787,05:12:06.83,-68:56:45.0,-0.329,-0.119,-0.206667,near-contact 
OGLE-LMC-ECL-10351,05:13:32.97,-68:49:57.4,-0.697,-0.090,-0.107291,near-contact 
OGLE-LMC-ECL-10542,05:13:59.88,-69:04:55.7,-2.675,-0.261,0.188063,near-contact 
OGLE-LMC-ECL-11003,05:15:07.52,-66:38:24.7,-1.747,-0.197,-0.065596,near-contact 
OGLE-LMC-ECL-11541,05:16:28.73,-67:53:28.9,-3.539,-0.302,0.117821,near-contact 
OGLE-LMC-ECL-11769,05:17:03.35,-69:42:04.8,-2.065,-0.194,-0.004378,genuinely-contact 
OGLE-LMC-ECL-12030,05:17:43.90,-67:55:20.4,-2.173,-0.252,-0.161479,genuinely-contact 
OGLE-LMC-ECL-12415,05:18:35.41,-67:51:23.9,-3.142,-0.310,0.151689,near-contact 
OGLE-LMC-ECL-12649,05:19:10.04,-68:00:37.3,-1.369,-0.250,-0.243720,genuinely-contact 
OGLE-LMC-ECL-12802,05:19:33.33,-69:04:37.1,-1.610,0.012,0.140016,near-contact 
OGLE-LMC-ECL-12866,05:19:44.67,-67:53:30.5,-1.595,-0.015,-0.108202,genuinely-contact 
OGLE-LMC-ECL-12878,05:19:45.70,-71:14:19.2,-3.082,-0.231,-0.099056,genuinely-contact 
OGLE-LMC-ECL-12982,05:19:59.86,-68:15:09.2,-3.898,-0.312,-0.083027,genuinely-contact 
OGLE-LMC-ECL-13206,05:20:36.00,-69:26:09.1,-1.602,-0.186,-0.089552,near-contact 
OGLE-LMC-ECL-14291,05:23:05.58,-69:35:03.1,-1.329,-0.122,-0.078460,near-contact 
OGLE-LMC-ECL-14617,05:23:49.28,-69:14:21.9,-2.439,-0.251,0.021698,near-contact 
OGLE-LMC-ECL-15444,05:25:54.31,-69:27:24.1,-1.684,-0.172,-0.240697,genuinely-contact 
OGLE-LMC-ECL-15756,05:26:35.01,-69:52:14.6,-0.495,-0.131,-0.160075,near-contact 
OGLE-LMC-ECL-16083,05:27:11.41,-69:50:53.3,-1.686,-0.138,0.187106,genuinely-contact 
OGLE-LMC-ECL-18264,05:31:36.39,-68:59:24.7,-1.520,-0.162,-0.252703,genuinely-contact 
OGLE-LMC-ECL-18865,05:32:56.86,-70:44:37.2,-1.438,-0.203,-0.225302,genuinely-contact 
OGLE-LMC-ECL-19039,05:33:19.72,-69:37:19.7,-1.663,-0.138,-0.039738,near-contact 
OGLE-LMC-ECL-20231,05:36:02.21,-69:24:32.3,-2.657,-0.272,-0.130987,near-contact 
OGLE-LMC-ECL-21029,05:37:46.54,-67:47:36.9,-0.912,-0.103,-0.043745,near-contact 
OGLE-LMC-ECL-21066,05:37:50.51,-71:39:53.7,-1.218,-0.172,-0.290562,near-contact 
OGLE-LMC-ECL-21744,05:39:32.41,-71:32:21.8,-1.017,-0.071,-0.014624,near-contact 
OGLE-LMC-ECL-21983,05:40:05.29,-68:28:35.2,-1.214,0.065,0.034789,genuinely-contact 
OGLE-LMC-ECL-22275,05:40:47.88,-70:01:27.9,-2.014,-0.104,-0.125227,near-contact 
OGLE-LMC-ECL-23809,05:45:24.37,-69:38:21.7,-0.613,-0.191,-0.293656,near-contact 
OGLE-LMC-ECL-24776,05:50:00.45,-70:09:06.2,-0.964,-0.128,-0.136344,near-contact 
OGLE-LMC-ECL-25114,05:52:18.19,-71:53:42.9,-0.651,-0.063,0.040922,near-contact 
