"index","SFR","Z","Mstar","Xmol","Mgas","Mdm","T"
1,2.2038152e-07,0,0,0.0001210175,181938.91,2328593.3,802.35003
2,0,0,0,2.3262039e-05,96940.896,1722977.4,790.4685
3,0,0,0,1.9713506e-05,70556.371,1504955.6,627.52476
4,0,0,0,1.7206953e-05,57173.53,1305102.4,657.12819
5,0,0,0,5.1687543e-05,69921.11,1170765.7,792.06874
6,0,0,0,3.644979e-05,55775.955,1007800,779.49967
7,0,0,0,3.0326594e-05,49804.497,1039732.5,682.16608
8,0,0,0,1.9965119e-05,35320.536,945036.16,653.29068
9,0,0,0,1.9423277e-05,28290.31,711874.02,710.81892
10,0,0,0,2.4267049e-05,31170.161,655716.9,634.61314
11,0,0,0,1.7150586e-05,22530.606,684896.58,638.92117
12,0,0,0,1.9637212e-05,32144.229,597908.11,616.31112
13,0,0,0,1.8590448e-05,25961.018,628739.47,567.32961
14,0,0,0,2.2944909e-05,28544.414,591851.95,619.25098
15,0,0,0,1.3973581e-05,20158.963,626261.95,509.82545
16,0,0,0,1.5113883e-05,19269.597,600110.35,580.53036
17,0,0,0,1.2205065e-05,17321.462,582767.71,432.99486
18,0,0,0,1.9095904e-05,18464.933,509267.96,568.45512
19,0,0,0,2.6542181e-05,20286.015,483116.36,578.54465
20,0,0,0,1.7130976e-05,21005.978,473756.84,591.78796
21,0,0,0,2.2732394e-05,16262.693,478436.6,502.93948
22,0,0,0,1.8203632e-05,16220.342,458065.88,594.48635
23,0,0,0,1.7236822e-05,13044.035,469077.08,523.43468
24,0,0,0,2.2653681e-05,17744.97,436043.48,663.96501
25,0,0,0,1.7707558e-05,15161.573,411268.29,484.16965
26,0,0,0,2.0592562e-05,13128.736,406863.81,564.12998
27,0,0,0,1.676347e-05,13891.05,366397.65,553.97515
28,1.9912161e-06,0,0,0.00042860737,240001.89,2641586.7,882.00391
29,0,0,0,3.0725422e-05,150641.66,2250689.1,979.19543
30,0,0,0,2.2861075e-05,88597.796,1698477.5,664.62829
31,0,0,0,7.6200779e-05,90207.127,1376399.9,796.88843
32,0,0,0,1.9297976e-05,70259.916,1411085.2,679.08868
33,0,0,0,4.1517073e-05,79322.979,1236282.4,830.64743
34,0,0,0,3.533791e-05,65304.876,1281428.3,730.41976
35,0,0,0,1.2767344e-05,38327.44,1115709.7,565.63454
36,0,0,0,2.1899694e-05,44002.443,949715.92,713.17566
37,0,0,0,1.9623809e-05,41503.748,958524.88,632.1648
38,0,0,0,2.7798004e-05,42181.36,893283.52,681.90455
39,0,0,0,2.2616326e-05,48533.974,845935.37,711.77907
40,0,0,0,2.2177873e-05,39301.508,828042.17,651.28389
41,0,0,0,1.9391719e-05,35108.782,785649.05,554.05664
42,0,0,0,1.7103708e-05,28756.168,804643.37,642.94185
43,0,0,0,2.9617673e-05,37734.53,730042.5,803.04518
44,0,0,0,1.9704655e-05,27655.048,772986.17,693.21621
45,0,0,0,1.6477065e-05,26808.033,776564.81,604.76051
46,0,0,0,2.4078484e-05,30026.691,729491.94,552.10304
47,0,0,0,1.6559266e-05,26299.824,725638.02,600.19401
48,0,0,0,2.3084438e-05,32186.58,616076.59,681.96065
49,0,0,0,1.2555404e-05,19057.843,649936.02,447.91345
50,0,0,0,2.240782e-05,19100.194,578913.79,720.02562
51,0,0,0,2.6635647e-05,20201.314,557717.23,635.26112
52,0,0,0,1.5553792e-05,20836.575,535419.55,479.22781
53,0,0,0,1.8803251e-05,16601.499,546981.31,600.26875
54,0,0,0,1.9343006e-05,21048.329,505138.76,527.33328
55,0,0,0,1.4331105e-05,16728.551,528812.84,506.3409
56,0,0,0,1.4946612e-05,16432.096,524683.64,589.98766
57,0,0,0,1.4478232e-05,16601.499,512296.04,563.58322
58,0,0,0,1.6448317e-05,17829.671,495228.68,526.51873
59,0,0,0,1.7228689e-05,15796.835,496054.52,599.21174
60,0,0,0,1.3824948e-05,15288.625,476509.64,515.51798
61,0,0,0,1.9467091e-05,17406.164,461369.24,476.59078
62,0,0,0,1.0238713e-05,13298.14,455313.08,414.71912
63,0,0,0,1.7568846e-05,13128.736,437419.88,447.13456
64,0,0,0,1.1696141e-05,14949.819,422004.2,485.4202
65,0,0,0,1.7622224e-05,13044.035,401633.49,535.28967
66,0,0,0,1.8616306e-05,14865.118,373004.37,507.86573
67,0,0,0,1.3123737e-05,15627.432,324279.81,583.84892
68,0,0,0,2.438007e-05,12832.281,220223.98,609.8707
69,0,0,0,4.1081253e-05,334698.08,5215179.2,857.7361
70,9.5238248e-06,4.43664418032787e-06,1.34904e-08,0.00081285046,425372.69,4431732.3,926.76998
71,0,0,0,4.9074998e-05,161568.16,2388879.6,779.17026
72,1.9715328e-08,0,0,0.00017355235,122520.78,1686365.1,748.77114
73,0,0,0,2.3635269e-05,96771.493,1625528.3,757.57894
74,0,0,0,4.7055565e-05,90884.737,1484584.9,769.92998
75,0,0,0,2.4106368e-05,62636.778,1345568.5,741.17764
76,0,0,0,1.5853032e-05,50947.968,1413838,600.51942
77,0,0,0,2.1474173e-05,61747.412,1259405.9,666.59962
78,0,0,0,1.9947304e-05,58740.508,1256928.4,807.5081
79,0,0,0,1.4513504e-05,53023.155,1268765.4,699.13835
80,0,0,0,2.5535857e-05,56538.268,1104148,766.91741
81,0,0,0,1.3229448e-05,38962.702,1066434.6,557.25901
82,0,0,0,3.0528684e-05,53446.663,931272.16,823.06129
83,0,0,0,2.7523162e-05,41969.606,912553.12,629.11719
84,0,0,0,2.4582177e-05,38327.44,926041.84,670.50836
85,0,0,0,2.9383883e-05,47305.802,859699.37,741.00363
86,0,0,0,2.7922673e-05,35701.693,915581.2,926.24024
87,0,0,0,1.6492748e-05,30831.355,939255.28,482.33608
88,0,0,0,2.1531871e-05,36125.201,885575.68,785.43468
89,0,0,0,3.5491728e-05,40868.486,797486.09,673.4655
90,0,0,0,1.5199201e-05,33118.297,827766.89,699.94079
91,0,0,0,2.1099671e-05,32779.49,827766.89,726.70561
92,0,0,0,2.726451e-05,30153.743,724812.18,806.19956
93,0,0,0,2.5830042e-05,26130.421,665351.7,579.99686
94,0,0,0,1.6238701e-05,20074.262,669480.9,586.63411
95,0,0,0,1.6270465e-05,23335.27,643604.59,550.50572
96,0,0,0,2.2301843e-05,21217.732,631492.27,672.91007
97,0,0,0,1.4217254e-05,21852.994,627087.79,513.85534
98,0,0,0,1.7178632e-05,22827.061,617728.27,646.91193
99,0,0,0,2.1252891e-05,21514.188,597908.11,614.62984
100,0,0,0,1.7286981e-05,21175.381,597082.27,646.67065
101,0,0,0,1.9169231e-05,23377.621,551936.35,576.76975
102,0,0,0,1.4379236e-05,21556.538,553863.31,613.58894
103,0,0,0,2.2057505e-05,23885.83,524683.64,575.65129
104,0,0,0,1.6637085e-05,19608.403,550284.67,586.89118
105,0,0,0,1.5586242e-05,18634.336,555514.99,561.56007
106,0,0,0,1.8597177e-05,17914.373,557166.67,484.11521
107,0,0,0,1.3980109e-05,17067.357,543677.95,549.64139
108,0,0,0,2.3799972e-05,20286.015,522481.4,545.17241
109,0,0,0,1.792307e-05,18210.828,526335.32,520.79682
110,0,0,0,1.1807294e-05,14483.961,541750.99,477.52458
111,0,0,0,2.077442e-05,18591.985,509543.24,610.97832
112,0,0,0,1.2923867e-05,15585.081,502661.24,481.28175
113,0,0,0,2.0048096e-05,15627.432,484217.48,536.38327
114,0,0,0,1.6425279e-05,15161.573,465773.72,502.84215
115,0,0,0,1.7266159e-05,15330.976,456964.76,502.08642
116,0,0,0,1.9617472e-05,18337.88,437144.6,528.68578
117,0,0,0,2.1510067e-05,13086.386,451183.88,538.68386
118,0,0,0,1.454884e-05,15246.275,422554.76,550.13009
119,0,0,0,1.4756216e-05,13213.438,417324.44,487.78512
120,0,0,0,1.2504446e-05,14822.767,394200.93,525.48519
121,0,0,0,2.0990993e-05,15415.678,336667.41,646.32255
122,0,0,0,2.2881771e-05,13975.752,330335.97,576.22346
123,1.5006632e-05,1.76665467213115e-05,5.226777e-08,0.0012616901,611048.13,6271428.4,949.22554
124,2.166222e-06,4.24839114754098e-07,4.1941396e-09,0.00028232816,403645.45,4421271.7,929.70569
125,0,0,0,3.8250246e-05,212939.64,3331988.8,844.05412
126,0,0,0,2.2569366e-05,200065,3394477.4,968.52729
127,1.594506e-07,0,0,0.00012457129,216920.64,2795192.9,871.17357
128,0,0,0,3.3635876e-05,136242.4,2215728.5,782.34961
129,2.3242847e-07,0,5.2938487e-10,0.00039334176,158646.05,2001010.1,704.98781
130,0,0,0,2.8191672e-05,120445.57,1974032.7,780.17662
131,3.984494e-08,0,0,7.9384233e-05,120064.42,1712241.5,741.7911
132,0,0,0,2.2312075e-05,92917.574,1880162.2,792.66803
133,0,0,0,1.5740171e-05,83727.458,1821802.9,683.52393
134,0,0,0,2.9159917e-05,90503.58,1616719.3,854.88223
135,0,0,0,3.058731e-05,65940.138,1325748.4,892.10725
136,0,0,0,2.6769699e-05,67083.608,1280051.9,728.18157
137,0,0,0,2.5308453e-05,64584.913,1267939.6,717.3163
138,0,0,0,2.4249972e-05,59375.77,1300422.6,762.60183
139,0,0,0,2.971916e-05,53361.961,1235181.3,771.90239
140,0,0,0,1.8329625e-05,65431.929,1150119.7,854.82091
141,0,0,0,1.8761477e-05,53277.26,1157552.3,699.30997
142,0,0,0,2.8708418e-05,56157.112,1137181.6,680.36556
143,0,0,0,2.4662721e-05,50609.162,1125344.5,783.0497
144,0,0,0,1.8188258e-05,52260.841,1092586.2,746.25139
145,0,0,0,1.8086968e-05,45781.175,1038631.4,815.88927
146,0,0,0,1.7381326e-05,38327.44,1051019,535.05296
147,0,0,0,1.6924545e-05,44298.898,968434.96,588.13168
148,0,0,0,4.1821498e-05,47814.011,916957.6,716.66951
149,0,0,0,3.5471696e-05,49677.445,871811.69,804.16621
150,0,0,0,1.2509668e-05,24817.547,816755.69,537.55277
151,0,0,0,2.7521001e-05,28925.571,774913.13,704.75277
152,0,0,0,1.5827247e-05,27951.504,776564.81,568.40091
153,0,0,0,2.2659415e-05,31636.02,744357.06,596.07171
154,0,0,0,1.8038227e-05,27485.645,752340.18,588.17768
155,0,0,0,2.0419878e-05,24563.442,771059.21,715.34706
156,0,0,0,1.7420287e-05,27655.048,747385.14,629.8388
157,0,0,0,2.4558496e-05,27655.048,738576.18,678.0284
158,0,0,0,2.1891723e-05,33330.05,697834.74,754.48869
159,0,0,0,1.6751097e-05,28036.205,717104.34,583.96161
160,0,0,0,1.4441133e-05,26257.473,708845.94,557.39194
161,0,0,0,1.2423469e-05,24351.689,675812.34,477.5561
162,0,0,0,1.978269e-05,26892.734,638649.55,686.73147
163,0,0,0,2.227364e-05,25241.055,618278.83,631.49675
164,0,0,0,1.7856155e-05,21175.381,633969.79,570.73701
165,0,0,0,1.600188e-05,24817.547,610295.71,650.30931
166,0,0,0,1.9985972e-05,20031.911,636447.31,539.3058
167,0,0,0,1.4987938e-05,19269.597,639200.11,525.77885
168,0,0,0,2.3528502e-05,22234.151,614424.91,621.64913
169,0,0,0,1.6561949e-05,32906.543,539824.03,756.33436
170,0,0,0,1.6808698e-05,19184.896,574784.59,450.2808
171,0,0,0,2.7663859e-05,21005.978,549458.83,567.27046
172,0,0,0,1.1915741e-05,14992.17,574784.59,411.6742
173,0,0,0,2.0278969e-05,17025.007,535419.55,597.60939
174,0,0,0,1.5220626e-05,18930.791,517251.08,453.46807
175,0,0,0,2.2402994e-05,15669.782,531015.07,528.85091
176,0,0,0,1.5590236e-05,15627.432,531015.07,531.79523
177,0,0,0,2.0730018e-05,17152.059,514498.28,600.00179
178,0,0,0,1.7570727e-05,15246.275,505414.04,563.86798
179,0,0,0,1.7144162e-05,18337.88,484217.48,473.18708
180,0,0,0,1.6831261e-05,14949.819,505689.32,480.88243
181,0,0,0,9.8928178e-06,13340.49,514773.56,354.4178
182,0,0,0,1.8341357e-05,18126.127,459717.56,622.85169
183,0,0,0,2.205435e-05,23335.27,421178.36,673.84789
184,0,0,0,1.164905e-05,13552.244,476509.64,467.64376
185,0,0,0,1.5841637e-05,14695.715,466599.56,526.41195
186,0,0,0,1.6091619e-05,13509.893,462745.64,495.72967
187,0,0,0,1.5285649e-05,13721.647,456138.92,499.71353
188,0,0,0,1.6881627e-05,18380.231,424757,714.88136
189,0,0,0,1.6101828e-05,12789.93,440447.96,600.08999
190,0,0,0,1.3233098e-05,13425.192,420352.52,426.92024
191,0,0,0,1.2008697e-05,13763.998,411268.29,511.96285
192,0,0,0,1.2878009e-05,13213.438,409066.05,457.95369
193,0,0,0,1.2690642e-05,13721.647,388144.77,484.8166
194,0,0,0,1.8544716e-05,18380.231,351532.53,681.24224
195,0,0,0,1.6954463e-05,13171.087,357313.41,607.35803
196,2.816353e-05,4.28831590163934e-05,1.4455422e-07,0.0030692397,759517.64,7751333.6,1040.595
197,1.1280871e-05,9.33474426229508e-06,3.1162947e-08,0.00089276946,589232.41,5449993,1079.8329
198,0,0,0,3.2662972e-05,406059.11,5453846.9,1112.9922
199,0,0,0,2.7394205e-05,301664.48,4919803.7,891.99941
200,0,0,0,2.3394463e-05,298826.98,4817950.2,967.46417
201,1.5915094e-07,0,0,7.1317978e-05,332368.81,4230227.4,997.77448
202,2.4248846e-06,0,0,0.00050153231,280701.07,2993394.5,881.57867
203,0,0,0,4.0111801e-05,171817.05,2629199.1,830.75462
204,1.3000903e-06,6.05322491803279e-06,7.2075427e-09,0.00076726924,192485.41,2317582.1,745.66186
205,6.215419e-07,1.06820442622951e-06,1.0035142e-09,0.00021277654,169657.37,2188200.5,789.2349
206,0,0,0,3.4474812e-05,135607.14,2169756.8,860.06131
207,0,0,0,2.4271875e-05,103674.67,1956139.5,878.60537
208,0,0,0,2.8959546e-05,98338.471,1938521.6,696.14561
209,0,0,0,3.0469035e-05,105792.21,1773904.2,770.96103
210,0,0,0,4.1178049e-05,110323.74,1739769.5,840.60069
211,0,0,0,3.5346142e-05,86988.467,1737567.2,838.49761
212,0,0,0,2.8445626e-05,80678.203,1476051.2,772.02547
213,0,0,0,1.9655793e-05,66871.855,1558084.7,691.50573
214,0,0,0,3.2576386e-05,83007.495,1431731.2,793.41843
215,0,0,0,3.158384e-05,71488.088,1405854.8,780.40243
216,0,0,0,3.1212868e-05,74283.238,1385484.1,847.54365
217,0,0,0,2.1213297e-05,65686.033,1324922.5,738.94637
218,0,0,0,4.2538264e-05,70302.266,1223068.9,678.29269
219,0,0,0,1.9145402e-05,55013.641,1259130.6,591.55501
220,0,0,0,1.3021265e-05,48872.78,1253349.7,637.24905
221,0,0,0,2.7093137e-05,44637.704,1061754.9,692.20048
222,0,0,0,1.5086621e-05,38327.44,1069187.4,631.75719
223,0,0,0,2.2437659e-05,53997.223,874289.21,794.71579
224,0,0,0,2.3475478e-05,44891.809,931272.16,648.61807
225,0,0,0,2.2127209e-05,42520.166,930996.88,771.85019
226,0,0,0,2.31522e-05,35235.835,968159.68,785.41043
227,0,0,0,2.1516952e-05,37141.619,846761.21,717.15446
228,0,0,0,2.893101e-05,38242.739,839328.65,758.63137
229,0,0,0,2.3085214e-05,33033.595,850339.85,711.09556
230,0,0,0,2.2743858e-05,33922.961,837676.97,618.44717
231,0,0,0,2.0655208e-05,31254.863,851440.97,694.27351
232,0,0,0,2.3499858e-05,35955.798,784547.93,688.05272
233,0,0,0,1.5091337e-05,30619.602,798036.65,540.90824
234,0,0,0,1.6927597e-05,26215.122,812351.21,579.33455
235,0,0,0,1.9454263e-05,31000.758,763351.38,519.44073
236,0,0,0,1.8693008e-05,26045.719,788677.13,497.28647
237,0,0,0,2.3066211e-05,25537.51,735272.82,627.63323
238,0,0,0,1.2038251e-05,21048.329,741053.7,431.51314
239,0,0,0,1.0802679e-05,20370.717,710497.62,421.82655
240,0,0,0,2.0130924e-05,24521.092,683244.9,574.77363
241,0,0,0,1.9064123e-05,26638.63,638649.55,633.03441
242,0,0,0,1.9642895e-05,22403.554,653239.38,574.76176
243,0,0,0,1.4463126e-05,20158.963,655716.9,515.84634
244,0,0,0,1.8190832e-05,20963.628,648834.9,629.85867
245,0,0,0,1.656251e-05,20794.225,629840.59,531.93862
246,0,0,0,1.4332113e-05,18973.142,630391.15,519.38267
247,0,0,0,1.430564e-05,23547.024,596531.71,591.80809
248,0,0,0,1.9954701e-05,18888.44,613048.51,575.59435
249,0,0,0,3.1158984e-05,22869.412,585795.79,607.45613
250,0,0,0,1.9197588e-05,22530.606,583593.55,668.33985
251,0,0,0,1.1930232e-05,16601.499,603413.71,469.25683
252,0,0,0,1.7571715e-05,18380.231,577812.67,519.30322
253,0,0,0,1.9899951e-05,18507.283,538722.91,569.80751
254,0,0,0,1.0735357e-05,14229.856,565425.07,472.44013
255,0,0,0,1.0707874e-05,14526.312,561295.87,348.4817
256,0,0,0,1.8012716e-05,16474.447,558267.79,551.06429
257,0,0,0,1.2065238e-05,14356.909,544503.79,464.70749
258,0,0,0,1.166015e-05,19142.545,518352.2,481.37758
259,0,0,0,1.7667241e-05,16432.096,527161.16,533.14036
260,0,0,0,1.9568703e-05,21217.732,486419.72,630.57808
261,0,0,0,2.014315e-05,17279.111,511745.48,545.27582
262,0,0,0,1.4503059e-05,21302.434,477335.48,674.19362
263,0,0,0,1.7066077e-05,15458.028,514498.28,495.52039
264,0,0,0,1.5836397e-05,15923.887,503487.08,463.55813
265,0,0,0,1.4042691e-05,14399.259,506790.44,586.52461
266,0,0,0,9.9542411e-06,12959.333,505414.04,411.10245
267,0,0,0,1.4017785e-05,13975.752,480088.28,564.02935
268,0,0,0,1.5804572e-05,15458.028,468251.24,479.81422
269,0,0,0,1.3499469e-05,16093.29,452285,520.15932
270,0,0,0,1.4480666e-05,15542.73,449807.48,546.84768
271,0,0,0,1.858183e-05,16643.85,437970.44,630.92381
272,0,0,0,1.4960351e-05,16135.641,439622.12,597.28644
273,0,0,0,1.1151522e-05,13975.752,452560.28,451.33279
274,0,0,0,1.1451788e-05,14060.453,445678.28,454.60817
275,0,0,0,1.1439244e-05,12874.632,450633.32,406.3915
276,0,0,0,1.2061888e-05,12874.632,421178.36,417.47426
277,0,0,0,1.042516e-05,13213.438,399155.97,466.78888
278,0,0,0,1.8892431e-05,13171.087,369150.45,471.07782
279,0,0,0,1.3417017e-05,13128.736,344375.25,570.28603
280,0,0,0,1.2574416e-05,14145.155,295375.41,632.08438
281,0,0,0,1.7215213e-05,16643.85,256010.38,752.23276
282,0,0,0,1.2245661e-05,18168.477,243898.06,709.05328
283,3.0277648e-05,8.60390819672131e-05,1.153936e-07,0.013344488,785964.47,7487615.4,1232.4405
284,2.9035878e-07,0,0,0.00011240919,629840.63,6792808.7,1053.5124
285,0,0.000122279360655738,0,0.026713369,424116.77,5841165.8,1012.9067
286,1.1945118e-06,0,0,0.00024717421,462639.91,5243808.3,931.15822
287,7.8528264e-06,0.000131349393442623,1.6239915e-08,0.027726978,376035.77,3868234.2,853.63696
288,0,0,0,2.4985104e-05,236910.17,3308314.8,1025.8715
289,0,0,0,2.5241274e-05,200657.91,3408516.7,811.32805
290,9.7799764e-07,2.98957950819672e-06,3.0005565e-09,0.0004663988,249531.72,3068545.9,797.57839
291,0,0,0,4.6271372e-05,250801.22,2976051.8,972.70893
292,0,0,0,4.9856975e-05,226534.23,3080382.9,920.14558
293,2.4068131e-06,1.33502680327869e-05,1.2896965e-08,0.00226073,232256.16,2846395,693.02643
294,0,0,0,3.0206404e-05,157375.43,2765187.4,803.86213
295,0,0,0,1.9065144e-05,132007.33,2877776.9,750.2096
296,0,0,0,4.6240111e-05,162118.72,2486879.3,978.59198
297,0,0,0,3.3548549e-05,137301.17,2453295.2,813.24404
298,0,0,0,3.3971004e-05,139969.27,2115801.9,838.46374
299,0,0,0,4.3794647e-05,120742.03,2015875.3,856.10452
300,0,0.000120514008196721,0,0.026318151,121883.73,1952010.3,749.12804
301,1.9772266e-08,0,0,6.7429933e-05,127984.01,1796752.4,831.03406
302,0,0.000123396713114754,0,0.026946967,96973.957,1899156.6,784.85518
303,0,0,0,3.757963e-05,111170.75,1735365,816.16905
304,0,0,0,3.6451494e-05,100498.36,1772803,852.08942
305,0,0,0,3.2779211e-05,106088.66,1623050.7,813.94469
306,0,0,0,2.1306e-05,75257.306,1585337.4,688.74169
307,0,0,0,2.6317379e-05,79831.188,1459534.4,811.46235
308,0,0,0,2.8347804e-05,62128.569,1396495.3,678.74673
309,0,0,0,5.225722e-05,77501.896,1285282.2,700.0202
310,0,0,0,1.477627e-05,60265.136,1376124.6,640.44789
311,0,0,0,1.772677e-05,58062.896,1371444.8,707.53301
312,0,0,0,2.0313089e-05,48068.116,1420995.2,864.4354
313,0,0,0,2.2890191e-05,59502.822,1283905.8,671.8201
314,0,0,0,2.4293637e-05,54717.186,1179299.4,733.64448
315,0,0,0,1.7260289e-05,52218.491,1177097.2,636.51753
316,0,0,0,2.7893803e-05,54081.924,1056524.6,858.40162
317,0,0,0,2.0236479e-05,43960.092,1106074.9,648.76355
318,0,0,0,2.4508989e-05,54166.626,1035328,744.28577
319,0,0,0,2.3665579e-05,52091.438,1041384.2,749.396
320,0,0,0,3.106779e-05,53827.82,1018535.9,762.22032
321,0,0,0,1.6758963e-05,39216.806,1097541.3,560.19964
322,0,0,0,1.984929e-05,38539.194,1035878.6,574.43947
323,0,0,0,1.6273213e-05,42816.621,996788.8,682.61876
324,0,0,0,1.3693634e-05,32440.684,1012755,508.82172
325,0,0,0,3.1533429e-05,42096.658,945862,979.36915
326,0,0,0,1.3970739e-05,35320.536,987429.28,548.30291
327,0,0,0,1.9212132e-05,35108.782,971738.32,672.61204
328,0,0,0,1.6551463e-05,34769.976,964856.32,536.71631
329,0,0,0,2.1497454e-05,33033.595,955221.52,558.63928
330,0,0,0,1.628767e-05,57427.634,770783.93,794.55244
331,0,0,0,2.264626e-05,35235.835,898238.56,597.40887
332,0,0,0,2.5362268e-05,38115.687,867407.21,669.04688
333,0,0,0,1.201306e-05,33668.857,877317.29,535.29359
334,0,0,0,1.7037702e-05,33202.998,828868.01,620.62472
335,0,0,0,2.6577042e-05,28840.87,847862.33,810.23837
336,0,0,0,2.5467531e-05,31890.124,806295.05,669.69526
337,0,0,0,1.1927863e-05,27316.242,835474.73,597.28604
338,0,0,0,1.2654042e-05,25833.965,829693.85,524.19029
339,0,0,0,1.1314092e-05,21980.046,788952.41,533.97059
340,0,0,0,1.2163835e-05,20624.822,792255.77,486.95511
341,0,0,0,1.2250182e-05,21725.941,782070.41,489.86214
342,0,0,0,1.929554e-05,25791.615,752340.18,699.71104
343,0,0,0,1.1829507e-05,21810.643,765828.89,553.32918
344,0,0,0,2.3192687e-05,25368.107,741879.54,654.59628
345,0,0,0,2.1506299e-05,25071.652,742705.38,601.33
346,0,0.00275380483606557,0,0.027833135,21352.306,766654.73,422.85395
347,0,0,0,1.6733346e-05,34346.469,677188.74,727.32925
348,0,0,0,1.360325e-05,31127.811,697559.46,598.51994
349,0,0,0,1.5746239e-05,23335.27,718480.74,513.3188
350,0,0,0,1.818849e-05,24521.092,680767.38,544.98012
351,0,0,0,1.9871149e-05,25029.301,673059.54,604.55864
